Line list produced by PGOPHER 10.1.182 04 Dec 2018 20:59  64 bit (fpc 3.3.1 x86_64-Linux)	10001182
Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
AsymmetricTop	Excited	28	O-	7	Ground	29	O-	8	12233.7488095079	3.50990775506234E-9	14539.767305305	2306.01849579716	16.3027791436259	164235.733508452	0	pP15,15(29)	Excited v=1 28 14 15 - Ground v=0 29 15 15
AsymmetricTop	Excited	27	O+	8	Ground	28	O+	8	12234.1010767152	3.87844973966925E-9	14520.8042744759	2286.70319776071	16.1193385754541	168307.28275551	0	pP15,13(28)	Excited v=1 27 14 13 - Ground v=0 28 15 13
AsymmetricTop	Excited	27	O-	7	Ground	28	O-	8	12234.1010767152	3.87844973966927E-9	14520.8042744759	2286.70319776071	16.1193385754541	168307.28275551	0	pP15,14(28)	Excited v=1 27 14 14 - Ground v=0 28 15 14
AsymmetricTop	Excited	26	O+	8	Ground	27	O+	8	12234.4645736758	4.26995913287537E-9	14502.5185297888	2268.05395611305	15.9404517405556	172735.597373113	0	pP15,12(27)	Excited v=1 26 14 12 - Ground v=0 27 15 12
AsymmetricTop	Excited	26	O-	7	Ground	27	O-	8	12234.4645736758	4.26995913287541E-9	14502.5185297889	2268.05395611305	15.9404517405556	172735.597373113	0	pP15,13(27)	Excited v=1 26 14 13 - Ground v=0 27 15 13
AsymmetricTop	Excited	25	O+	8	Ground	26	O+	8	12234.8392977911	4.68393357987993E-9	14484.9100674212	2250.07076963006	15.7666794270612	177568.962532453	0	pP15,11(26)	Excited v=1 25 14 11 - Ground v=0 26 15 11
AsymmetricTop	Excited	25	O-	7	Ground	26	O-	8	12234.8392977911	4.68393357987993E-9	14484.9100674212	2250.07076963006	15.7666794270612	177568.962532453	0	pP15,12(26)	Excited v=1 25 14 12 - Ground v=0 26 15 12
AsymmetricTop	Excited	24	O+	8	Ground	25	O+	8	12235.2252465605	5.11965542231411E-9	14467.9788836918	2232.75363713138	15.5986706347517	182864.584191049	0	pP15,10(25)	Excited v=1 24 14 10 - Ground v=0 25 15 10
AsymmetricTop	Excited	24	O-	7	Ground	25	O-	8	12235.2252465605	5.11965542231408E-9	14467.9788836918	2232.75363713138	15.5986706347517	182864.584191049	0	pP15,11(25)	Excited v=1 24 14 11 - Ground v=0 25 15 11
AsymmetricTop	Excited	23	O+	8	Ground	24	O+	8	12235.6224175809	5.57620910880174E-9	14451.7249750613	2216.10255748034	15.4371809582838	188690.712546509	0	pP15,9(24)	Excited v=1 23 14  9 - Ground v=0 24 15  9
